station_id,station_name,lat,lng,member,casual,rides
555,Public Rack - Latrobe Ave & Lake St,41.887083,-87.756181,205,353,558
561,Public Rack - Melvina Ave & Belmont Ave,41.785867507038,-87.6741453803042,75,106,181
567,Public Rack - Harvey Ave & North Ave,41.7689391000871,-87.6529682523669,582,212,794
571,Public Rack - Austin Blvd & North Ave,41.7583609344632,-87.6141362595194,141,244,385
643,Smith Park,41.8920455555791,-87.6893978810963,3043,1467,4510
801,Public Rack - N Narragansett Ave & Grand Ave,41.9225841828958,-87.7849751097084,6,12,18
863,Public Rack - Karlov Ave & Milwaukee Ave,41.9427282385834,-87.7299933900522,1578,962,2540
935,Public Rack - Lorel Ave & Grand Ave,41.9176655531667,-87.759472709,624,226,850
964,Public Rack - Lockwood Ave & Diversey Ave,41.931519137373,-87.7590471274206,31,19,50
966,Public Rack - Laporte Ave & Armitage Ave,41.91702227,-87.75001416575,335,285,620
KA1504000142,Drake Ave & Addison St,41.9473352356707,-87.7175849081228,4006,2088,6094
TA1306000016,Sheffield Ave & Fullerton Ave,41.9255323199449,-87.6536991290201,28947,12307,41254
TA1306000032,Sheffield Ave & Willow St,41.9136918045021,-87.6528506108155,12981,5142,18123
TA1307000120,Green St & Madison St,41.8818651078774,-87.6492582332146,53234,23752,76986
TA1309000061,Halsted St & Wrightwood Ave,41.9291380880706,-87.6490814060868,48131,25641,73772
1012,Public Rack - Langley Ave & 49th St,41.8051326468024,-87.6090957838125,378,23,401
1072,Public Rack - Washington Park Ct & 51st St,41.8021869824756,-87.6151377133497,31,59,90
13398,Blackstone Ave & Hyde Park Blvd,41.8025624550154,-87.5903643604399,17385,8134,25519
15470,Calumet Ave & 51st St,41.802292289085,-87.6180553787932,853,560,1413
22002,Woodlawn Ave & 58th St,41.789382364633,-87.59647950409,12796,4795,17591
22004,Blackstone Ave & 59th St,41.7878830191146,-87.5904687994749,19959,7152,27111
745,Public Rack - Halsted St & 63rd St,41.7798815117368,-87.6414328041141,65,80,145
749,Public Rack - Evans Ave & 63rd St,41.7805032526819,-87.607515551491,1191,577,1768
767,Public Rack - Hyde Park Blvd & 53rd St,41.7995149740574,-87.5842320578365,2869,2284,5153
768,Public Rack - Hyde Park Blvd & 55th St,41.7950442429629,-87.5841139424292,300,166,466
813,Public Rack - Calumet Ave & 51st St,41.8022142714228,-87.6183364432623,108,86,194
815,Public Rack - Forrestville Ave & 47th St,41.8093496249091,-87.6129216609091,779,599,1378
959,Public Rack - 53rd St & Indiana Ave,41.798015,-87.620745,395,144,539
999,Public Rack - Champlain Ave & 65th St,41.7758649175556,-87.6093240976481,16,19,35
KA1503000007,Cornell Ave & Hyde Park Blvd,41.8024047350558,-87.5869214561797,11122,5124,16246
KA1503000052,Ellis Ave & 53rd St,41.7993367684732,-87.6009694428266,13823,4917,18740
KA1503000054,Cottage Grove Ave & 63rd St,41.7805441216016,-87.6059913653466,1512,848,2360
KA1503000059,Lake Park Ave & 53rd St,41.7995010280564,-87.5864525194176,9724,4712,14436
KA1503000071,University Ave & 57th St,41.7914781388361,-87.5998681656976,55147,17978,73125
KA1503000074,Museum of Science and Industry,41.7917314549457,-87.5839466323525,4985,8357,13342
KA1504000076,Ellis Ave & 55th St,41.7943011678519,-87.6014481823311,29782,9398,39180
TA1308000009,Shore Dr & 55th St,41.795215871165,-87.5807363485877,13382,10234,23616
TA1309000037,Kimbark Ave & 53rd St,41.7994774140792,-87.5947923889292,23049,8133,31182
TA1309000063,Lake Park Ave & 56th St,41.7932436186367,-87.5877832650832,13506,5958,19464
TA1309000067,Cottage Grove Ave & 51st St,41.8030360487912,-87.6066150156353,1533,1069,2602
1013,Public Rack - Pulaski Rd & Lake St,41.8855369475333,-87.7260338668,24,32,56
1020,Public Rack - Hamlin Ave & Madison St,41.880907800125,-87.720843462625,212,283,495
1057,Public Rack - Tripp Ave & North Ave,41.9099436200278,-87.7327673878611,814,460,1274
1062,Public Rack - Kedzie Ave & Walnut St,41.885912579625,-87.7063667123125,704,425,1129
111111,w. Chicago Warehouse,41.894966,-87.731052,64,82,146
24225,Avers Ave & 16th St,41.85909,-87.7212100000001,56,377,433
528,Pulaski Rd & Lake St,41.8854055334299,-87.7265035672509,111,149,260
536,Kostner Ave & Lake St,41.885927173727,-87.7354101720547,59,163,222
851,Public Rack - Kostner Ave & Lake St,41.8857314666667,-87.7354227333333,7,10,17
853,Public Rack - Keeler Ave & Madison St S,41.880573775375,-87.731069498,99,268,367
868,Public Rack - Kildare Ave & Division Ave,41.902405,-87.732699,122,184,306
TA1309000033,Sheffield Ave & Webster Ave,41.9215539851982,-87.653816972174,19235,10124,29359
1014,Public Rack - Richmond St & Thorndale Ave,41.9889299918333,-87.7028142298333,14,4,18
21452,Richmond St & Lincoln Ave,41.9881325560544,-87.7031643182415,763,325,1088
445,Western Ave & Gunnison St,41.9696606904242,-87.6895549196828,6539,3312,9851
458,Washtenaw Ave & Peterson Ave,41.9906727769585,-87.6970671454721,1015,566,1581
1016,Public Rack - Peterson Ave & Bernard Ave,41.9902347835,-87.715632663,7,0,7
24157,Central Park Ave & Ardmore Ave,41.9866279522176,-87.7187243832016,423,305,728
24158,Bernard St & Peterson Ave,41.9904369212587,-87.7152203442034,239,125,364
660,Sheridan Rd & Columbia Ave,42.0045809642929,-87.6614122425772,4988,1984,6972
KA1504000159,Sheridan Rd & Greenleaf Ave,42.0105522599541,-87.6624170345103,4935,2289,7224
